Datetime,Temperature,Memory Free %,CPU Utilization %
2024-03-22 13:00:42,53.56,83.08,57.39
2024-03-22 13:01:13,53.07,83.09,57.61
2024-03-22 13:01:44,53.56,83.08,56.96
2024-03-22 13:02:15,53.56,83.09,58.42
2024-03-22 13:02:46,52.58,83.07,57.32
2024-03-22 13:03:17,54.53,83.07,56.57
2024-03-22 13:03:48,53.56,83.06,56.78
2024-03-22 13:04:19,53.07,83.06,63.91
2024-03-22 13:04:50,53.56,83.14,57.79
2024-03-22 13:05:21,54.04,83.12,56.74
2024-03-22 13:05:52,53.07,83.12,58.25
2024-03-22 13:06:23,53.56,83.1,57.18
2024-03-22 13:06:54,54.04,83.09,59.74
2024-03-22 13:07:25,53.56,83.08,56.12
2024-03-22 13:07:56,52.58,83.08,57.0
2024-03-22 13:08:27,53.07,83.08,56.03
2024-03-22 13:08:58,54.04,83.09,57.72
2024-03-22 13:09:29,53.07,83.08,56.96
2024-03-22 13:10:00,54.04,83.08,57.14
2024-03-22 13:10:31,55.02,83.07,56.93
2024-03-22 13:11:02,53.07,83.11,58.04
2024-03-22 13:11:33,54.04,83.12,56.06
2024-03-22 13:12:04,53.56,83.12,56.53
2024-03-22 13:12:35,53.07,83.12,56.64
2024-03-22 13:13:06,53.07,83.12,57.21
2024-03-22 13:13:37,53.56,83.11,58.06
2024-03-22 13:14:08,53.56,83.1,57.36
2024-03-22 13:14:39,52.09,83.06,57.18
2024-03-22 13:15:10,53.07,83.04,57.25
2024-03-22 13:15:41,54.04,83.06,57.5
2024-03-22 13:16:12,54.04,83.05,56.89
2024-03-22 13:16:43,53.07,83.05,57.36
2024-03-22 13:17:14,52.58,83.05,56.49
2024-03-22 13:17:45,53.07,83.06,57.75
2024-03-22 13:18:16,53.56,83.04,57.64
2024-03-22 13:18:47,53.07,83.12,56.71
2024-03-22 13:19:18,53.56,83.19,57.07
2024-03-22 13:19:49,53.56,83.13,57.64
2024-03-22 13:20:20,53.56,83.11,57.68
2024-03-22 13:20:51,52.58,83.09,57.18
2024-03-22 13:21:22,53.56,83.12,58.54
2024-03-22 13:21:53,54.04,83.12,57.75
2024-03-22 13:22:24,54.53,83.11,57.93
2024-03-22 13:22:55,53.56,83.09,53.25
2024-03-22 13:23:26,53.07,83.17,57.67
2024-03-22 13:23:57,54.04,83.15,56.93
2024-03-22 13:24:28,53.07,83.13,56.74
2024-03-22 13:24:59,54.04,83.12,56.89
2024-03-22 13:25:30,53.56,83.1,56.17
2024-03-22 13:26:01,54.04,83.11,57.72
2024-03-22 13:26:32,52.58,83.07,57.39
2024-03-22 13:27:03,53.07,83.06,58.1
2024-03-22 13:27:34,53.56,83.07,57.14
2024-03-22 13:28:05,53.07,83.09,58.54
2024-03-22 13:28:36,53.56,83.05,57.07
2024-03-22 13:29:07,54.04,83.05,58.29
2024-03-22 13:29:38,53.07,83.2,57.54
2024-03-22 13:30:09,53.56,83.19,56.46
2024-03-22 13:30:40,52.58,83.17,57.83
2024-03-22 13:31:11,54.53,83.16,58.04
2024-03-22 13:31:42,53.56,83.14,57.07
2024-03-22 13:32:13,52.58,83.11,56.6
2024-03-22 13:32:44,53.07,83.1,57.11
2024-03-22 13:33:15,52.09,83.07,57.86
2024-03-22 13:33:46,53.07,83.08,57.79
2024-03-22 13:34:17,53.07,83.06,58.25
2024-03-22 13:34:48,52.58,83.04,58.0
2024-03-22 13:35:19,54.04,83.01,57.36
2024-03-22 13:35:50,53.56,83.0,57.43
2024-03-22 13:36:21,53.07,82.99,58.29
2024-03-22 13:36:52,54.04,83.02,57.39
2024-03-22 13:37:23,53.56,83.09,57.25
2024-03-22 13:38:24,54.04,83.08,57.04
2024-03-22 13:38:55,53.07,83.07,53.4
2024-03-22 13:39:26,53.56,83.1,58.4
2024-03-22 13:39:57,52.58,83.1,57.79
2024-03-22 13:40:28,53.56,83.09,56.89
2024-03-22 13:40:59,53.56,83.07,56.89
2024-03-22 13:41:30,53.07,83.09,57.61
2024-03-22 13:42:01,52.58,83.08,58.5
2024-03-22 13:42:32,53.56,83.08,57.07
2024-03-22 13:43:03,54.04,83.04,56.53
2024-03-22 13:43:34,53.56,83.04,57.47
2024-03-22 13:44:05,53.56,83.03,55.78
2024-03-22 13:44:36,52.58,83.02,57.36
2024-03-22 13:45:07,53.56,83.02,58.35
2024-03-22 13:45:38,53.07,83.02,57.82
2024-03-22 13:46:09,52.58,83.03,56.96
2024-03-22 13:46:40,53.56,83.03,57.54
2024-03-22 13:47:11,52.58,83.04,57.79
2024-03-22 13:47:42,53.56,83.02,57.5
2024-03-22 13:48:13,53.56,83.03,57.0
2024-03-22 13:48:44,53.07,83.02,57.14
2024-03-22 13:49:15,52.58,83.02,57.47
2024-03-22 13:49:46,52.09,83.06,57.18
2024-03-22 13:50:17,53.07,83.07,57.29
2024-03-22 13:50:48,54.04,83.06,58.75
2024-03-22 13:51:19,55.5,83.04,59.39
2024-03-22 13:51:50,54.04,83.03,57.14
2024-03-22 13:52:21,53.56,83.04,57.07
2024-03-22 13:52:52,52.58,83.11,57.07
2024-03-22 13:53:23,54.04,83.15,57.18
2024-03-22 13:53:54,53.07,83.15,59.55
2024-03-22 13:54:25,53.07,83.1,56.78
2024-03-22 13:54:56,52.58,83.09,52.42
2024-03-22 13:55:27,53.56,83.06,56.53
2024-03-22 13:55:58,54.04,83.05,57.32
2024-03-22 13:56:29,53.07,83.06,56.2
2024-03-22 13:57:00,53.56,83.05,56.57
2024-03-22 13:57:31,53.56,83.05,56.57
2024-03-22 13:58:02,53.56,83.02,57.32
2024-03-22 13:58:33,52.58,83.04,56.68
2024-03-22 13:59:04,52.58,83.0,56.53
2024-03-22 13:59:35,53.07,82.96,56.93
2024-03-22 14:00:06,53.56,83.03,56.82
2024-03-22 14:00:37,53.07,82.96,56.78
2024-03-22 14:01:08,52.58,82.84,58.04
2024-03-22 14:01:39,52.58,82.91,57.28
2024-03-22 14:02:10,52.58,82.89,56.96
2024-03-22 14:02:41,54.04,82.86,56.68
2024-03-22 14:03:12,52.58,82.85,56.57
2024-03-22 14:03:43,54.53,82.84,56.86
2024-03-22 14:04:14,53.56,82.83,56.78
2024-03-22 14:04:45,54.04,82.85,56.03
2024-03-22 14:05:16,52.58,82.85,56.28
2024-03-22 14:05:47,53.56,82.86,56.28
2024-03-22 14:06:18,54.53,82.85,56.86
2024-03-22 14:06:49,53.56,82.94,55.92
2024-03-22 14:07:20,53.56,82.95,57.14
2024-03-22 14:07:51,54.04,83.14,56.82
2024-03-22 14:08:22,53.56,83.13,56.78
2024-03-22 14:08:53,53.07,83.12,56.86
2024-03-22 14:09:24,52.58,83.09,57.11
2024-03-22 14:09:55,53.07,83.09,56.25
2024-03-22 14:10:26,53.56,83.1,55.19
2024-03-22 14:10:57,54.04,83.08,56.03
2024-03-22 14:11:28,52.09,83.07,60.2
2024-03-22 14:11:59,53.56,83.06,56.72
2024-03-22 14:12:30,53.07,83.05,100.0
2024-03-22 14:13:01,52.58,83.13,57.36
2024-03-22 14:13:32,53.07,83.14,56.14
2024-03-22 14:14:03,53.56,83.12,56.68
2024-03-22 14:14:34,54.04,83.13,56.68
2024-03-22 14:15:05,53.07,83.14,55.97
2024-03-22 14:15:36,54.04,83.16,56.2
2024-03-22 14:16:07,53.56,83.16,57.21
2024-03-22 14:16:38,51.61,83.13,55.95
2024-03-22 14:17:09,53.07,83.16,55.64
2024-03-22 14:17:40,54.04,83.17,55.7
2024-03-22 14:18:11,53.07,83.28,56.06
2024-03-22 14:18:42,53.07,83.21,56.06
2024-03-22 14:19:13,52.09,83.21,56.93
2024-03-22 14:19:44,53.56,83.14,56.33
2024-03-22 14:20:15,53.07,83.15,56.93
2024-03-22 14:20:46,54.04,83.15,56.28
2024-03-22 14:21:17,52.09,83.19,56.53
2024-03-22 14:21:48,54.53,83.23,56.03
2024-03-22 14:22:19,52.58,83.22,55.89
2024-03-22 14:22:50,53.56,83.21,56.53
2024-03-22 14:23:21,53.07,83.2,56.0
2024-03-22 14:23:52,53.07,83.13,56.58
2024-03-22 14:24:23,53.56,83.13,60.15
2024-03-22 14:24:54,53.07,83.13,55.64
2024-03-22 14:25:25,53.07,83.14,56.42
2024-03-22 14:25:56,54.04,83.21,51.88
2024-03-22 14:26:27,53.56,83.21,56.78
2024-03-22 14:26:58,53.07,83.19,56.09
2024-03-22 14:27:29,52.58,83.19,56.09
2024-03-22 14:28:00,53.56,83.16,57.21
2024-03-22 14:28:31,52.58,83.15,58.19
2024-03-22 14:29:02,53.07,83.14,57.43
2024-03-22 14:30:03,52.58,83.13,56.28
2024-03-22 14:30:34,54.04,83.14,56.75
2024-03-22 14:31:05,52.09,83.14,57.32
2024-03-22 14:31:36,53.56,83.14,56.85
2024-03-22 14:32:07,53.07,83.13,55.97
2024-03-22 14:32:38,54.53,83.12,55.64
2024-03-22 14:33:09,53.56,83.12,56.82
2024-03-22 14:33:40,53.56,83.15,55.08
2024-03-22 14:34:11,53.56,83.14,56.42
2024-03-22 14:34:42,52.58,82.99,56.11
2024-03-22 14:35:13,52.09,82.98,56.39
2024-03-22 14:35:44,51.12,83.0,55.92
2024-03-22 14:36:15,52.58,82.98,54.82
2024-03-22 14:36:46,53.07,82.99,55.97
2024-03-22 14:37:17,52.09,83.0,56.53
2024-03-22 14:37:48,51.61,83.0,56.58
